topic	model	n_texts	n_numbers	chi2	p	obs_1	obs_2	obs_3	obs_4	obs_5	obs_6	obs_7	obs_8	obs_9	zipf_slope	zipf_r2	zipf_types
bank_statement	gpt-3.5-turbo	31	3879	266.56337234069827	0.0	983	1004	363	325	345	186	209	232	232	-0.9738279951482285	0.9521833145454455	382
bank_statement	gpt-4o	31	3730	187.27558318876328	0.0	992	947	332	324	293	259	211	189	183	-0.9565503399449032	0.9548962868509892	680
bank_statement	gpt-5-nano	27	2388	508.04900811730056	0.0	592	748	201	156	171	114	111	67	228	-0.8488051924388249	0.9306861494975602	571
csv_table	gpt-3.5-turbo	84	16455	1070.547166391921	0.0	4596	4281	2162	1389	1193	645	575	885	729	-1.2792572156193862	0.9142353308541254	465
csv_table	gpt-4o	69	13637	1819.1986665165107	0.0	4201	3882	1869	1193	803	284	287	669	449	-1.2366130637881538	0.9736772451878021	847
csv_table	gpt-5-nano	69	9276	3258.7129796388763	0.0	2364	3304	823	626	436	214	245	298	966	-1.316554110206693	0.9224738082437469	418
financial_receipt	gpt-3.5-turbo	108	12065	221.51883462714878	0.0	4100	2362	1528	1058	792	577	587	583	478	-1.2222244819086587	0.9710990587603948	1063
financial_receipt	gpt-4o	108	11494	153.38909920471997	0.0	3701	2237	1502	1075	921	543	570	468	477	-1.109817647229486	0.9732604064161677	1942
financial_receipt	gpt-5-nano	102	12859	1001.947746426728	0.0	3808	3097	1824	863	702	438	479	798	850	-1.2025413977137505	0.965562631497712	1698
medical	gpt-3.5-turbo	156	1395	31.724097611633454	0.000104355911656695	460	276	132	137	123	74	67	80	46	-1.1585878892104264	0.9485782436201677	2204
medical	gpt-4o	104	1674	44.689450947730286	4.2138215894382824e-07	492	373	194	165	158	91	81	63	57	-1.166436575136267	0.960170377541585	3366
medical	gpt-5-nano	157	6734	330.7121731734213	0.0	1720	1539	641	656	440	569	409	298	462	-1.3118555010680055	0.9418914032943566	5225
narrative	gpt-3.5-turbo	60	627	61.51731778797247	2.346585148416125e-10	191	143	69	33	81	49	22	28	11	-0.9337653861005994	0.9686896071350737	2051
narrative	gpt-4o	60	920	72.52613261317089	1.5409895581797173e-12	262	244	110	63	80	71	39	27	24	-0.8465796359015866	0.9625871939906631	2850
narrative	gpt-5-nano	55	1376	311.9260796480738	0.0	315	453	114	88	87	159	51	49	60	-0.8211165850230971	0.9570049065103393	2678
other	gpt-3.5-turbo	234	14489	222.12757395173386	0.0	3964	3002	2050	1490	1128	727	764	717	647	-0.9664917389908954	0.9714484362977497	2158
other	gpt-4o	227	18575	230.50040186465662	0.0	5196	3770	2527	1770	1273	1026	1134	864	1015	-0.9809189686418821	0.9688451928125362	4075
other	gpt-5-nano	162	11917	1639.5557601683367	0.0	2906	2574	1462	921	939	603	637	494	1381	-0.9034299683286168	0.9628109276864003	3719
reviews	gpt-3.5-turbo	102	3019	143.51635484175785	0.0	810	528	391	309	403	196	160	112	110	-1.1513391301983384	0.9538360442550473	2570
reviews	gpt-4o	102	3727	115.89133377719378	0.0	969	606	489	417	436	260	225	142	183	-1.1616234984317935	0.9634041872871213	4505
reviews	gpt-5-nano	104	2636	111.72021458740075	0.0	668	452	365	367	271	174	128	88	123	-1.1075895435289993	0.9635814482261208	3972
sensor_logs	gpt-3.5-turbo	17	2156	226.9328421895616	0.0	391	317	294	249	233	190	189	159	134	-1.1245772616184628	0.9230818038588754	178
sensor_logs	gpt-4o	17	2336	217.88118895708106	0.0	458	350	285	270	268	198	203	142	162	-1.0086956886778082	0.9482830120529082	315
sensor_logs	gpt-5-nano	12	1101	113.39935093853404	0.0	241	191	131	108	150	95	107	40	38	-0.8880512517521253	0.9184952861658778	316
